Name,Year,Month,Time,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
KIAMO-Accra,2004,02,15:00,63,63,65,42,33,42,35,47,42,47,49,62,66,61,96,61,53,67,68,61,65,70,62,57,58,64,57,54,67,,
KIAMO-Accra,2004,03,06:00,85,88,88,80,32,33,39,39,77,88,88,89,88,87,90,82,92,92,88,88,88,92,90,89,89,87,92,89,88,87,84
KIAMO-Accra,2004,03,15:00,58,60,62,42,28,14,22,33,58,53,57,61,65,64,66,59,57,63,63,75,61,64,62,63,64,66,62,63,69,77,64
KIAMO-Accra,2004,04,06:00,87,73,89,90,88,92,90,88,93,92,92,86,88,90,90,92,91,89,84,94,92,92,87,87,90,92,87,92,88,85,
KIAMO-Accra,2004,04,15:00,67,57,68,64,62,66,77,64,62,61,66,65,88,61,65,62,69,66,80,69,64,53,64,64,59,61,80,63,79,60,
KIAMO-Accra,2004,05,06:00,92,92,89,90,89,88,87,90,86,83,93,92,90,89,92,89,92,92,89,90,92,88,92,92,89,83,94,96,92,89,90
KIAMO-Accra,2004,05,15:00,57,63,63,58,65,66,56,66,66,63,92,64,64,74,70,66,68,73,77,70,65,73,71,74,72,84,73,58,66,65,80
KIAMO-Accra,2004,06,06:00,93,92,93,90,92,93,96,90,94,92,94,91,95,98,92,92,92,93,92,92,92,89,88,89,92,93,92,90,90,91,
KIAMO-Accra,2004,06,15:00,74,69,82,84,70,69,75,74,77,70,70,64,67,86,71,78,71,71,75,72,74,68,66,69,64,56,70,74,74,71,
KIAMO-Accra,2004,07,06:00,90,92,89,89,88,88,90,89,88,92,96,92,92,92,92,89,90,91,92,92,89,95,93,92,91,90,89,88,92,92,92
KIAMO-Accra,2004,07,15:00,79,68,72,71,67,69,76,72,75,78,73,67,64,70,71,73,71,78,72,81,86,75,65,60,66,70,67,76,77,73,73
KIAMO-Accra,2004,08,06:00,93,89,91,92,88,91,89,87,92,92,92,93,88,96,92,87,91,91,92,89,91,96,96,96,93,93,93,93,88,92,88
KIAMO-Accra,2004,08,15:00,70,71,73,65,73,72,73,76,86,78,70,54,69,80,79,72,63,61,67,68,79,75,90,75,70,76,71,63,68,67,78
KIAMO-Accra,2004,09,06:00,92,92,93,89,87,87,92,92,88,94,91,92,94,92,92,91,93,90,91,91,91,94,87,92,98,91,91,92,90,94,
KIAMO-Accra,2004,09,15:00,68,68,71,66,66,66,65,64,68,68,77,75,70,72,60,69,65,77,62,64,80,64,63,70,74,64,70,65,64,92,
